Gene,Target
PF3D7_0603300,1
PF3D7_1350100,1
PF3D7_1467300,1
PF3D7_1446200,1
PF3D7_0509800,1
PF3D7_0204700,1
PF3D7_1451100,1
PF3D7_0923800,1
PF3D7_1211900,1
PF3D7_1347200,1
PF3D7_0107500,1
PF3D7_1238800,1
PF3D7_0417200,1
PF3D7_1247400,1
PF3D7_0812400,1
PF3D7_1311800,1
PF3D7_1412800,1
PF3D7_1213800,1
PF3D7_1436600,1
PF3D7_1344800,1
PF3D7_1453800,1
PF3D7_0520900,1
PF3D7_0513300,1
PF3D7_0627800,1
PF3D7_0109800,1
PF3D7_1343000,1
PF3D7_0106300,1
PF3D7_1116700,1
PF3D7_1114700,1
PF3D7_0808200,1
PF3D7_1323500,1
PF3D7_1128400,1
PF3D7_1126000,1
PF3D7_0106900,1
PF3D7_1115700,1
PF3D7_0217500,1
PF3D7_1235600,1
PF3D7_1127100,1
PF3D7_0316600,1
PF3D7_0507500,1
PF3D7_1115400,1
PF3D7_1011400,1
PF3D7_1416500,0
PF3D7_1447900,0
PF3D7_1145500,0
PF3D7_1339900,0
PF3D7_1113700,0
PF3D7_0406400,0
PF3D7_0831700,0
PF3D7_0927300,0
PF3D7_0616800,0
PF3D7_0806200,0
PF3D7_1325600,0
PF3D7_1031200,0
PF3D7_0207900,0
PF3D7_0207800,0
PF3D7_0207400,0
PF3D7_0207300,0
PF3D7_1206000,0
PF3D7_0915000,0
PF3D7_0823600,0
PF3D7_1458000,0
PF3D7_1470900,0
PF3D7_0502400,0
PF3D7_1351600,0
PF3D7_0729200,0
PF3D7_0610600,0
PF3D7_0507400,0
PF3D7_0909200,0
PF3D7_1444500,0
PF3D7_1431500,0
PF3D7_0525900,0
