Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3,GII,GV
PF3D7_0100100,15772.6034,21560.2763,6211.502,2732.4029,5348.0693,3345.9044,13095.9098,21237.8155,14404.1044,5031.1066,7736.1362,9816.0822,4595.0611,35635.0298,15472.7398,4634.1438,4962.6127,5232.4978,16009.2096,18797.6892,14149.192,2809.1532,2693.0622,4054.1501,3309.5662,961.8954
PF3D7_0100200,4100.713,2556.4523,13051.74,4136.1452,9632.5515,25103.7886,3192.9075,8018.1815,12417.7541,653.9186,983.1079,1639.1814,807.0099,9829.1842,5359.9075,25658.7707,4866.7364,2889.8262,6738.1122,4189.3321,4617.0812,8826.3509,7098.4795,2941.5715,1306.4156,1495.0603
PF3D7_0100300,52.7554,50.4292,363.4756,961.6038,583.7783,976.4577,128.8311,128.9418,213.8502,64.4968,22.3766,18.6547,71.6368,566.236,605.1701,65.0766,135.8525,146.5854,37.9765,213.7236,311.5816,870.5539,1301.332,2099.182,0,98.3064
PF3D7_0100400,30453.5259,13366.3163,34132.5829,9950.4671,26691.245,72528.3671,20460.1573,22644.3316,40716.9092,11746.2212,12371.2746,18018.4657,2873.3484,25613.4536,28232.1996,58553.5968,20146.7263,22564.7074,22539.7705,7228.6603,22760.5733,3915.4629,9429.5053,6549.361,2828.6002,1598.5414
PF3D7_0100600,1422.8504,510.0414,3446.4321,147.3586,1157.7132,2762.9005,1737.3312,3912.3553,6685.273,108.7202,452.6336,188.6743,2415.1152,10239.0286,6331.7525,2632.7403,549.6053,411.8238,1280.3145,720.5341,3232.1416,624.4531,76.9689,460.2957,2280.6421,497.136
PF3D7_0100700,0,0,0,0,350.1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.748,0,0,0,0
PF3D7_0100800,0,0,0,0,346.4675,586.4186,0,86.7294,0,108.4552,0,0,0,173.1199,70.1814,802.488,91.3777,0,63.8597,0,80.6066,0,0,0,0,495.9244
PF3D7_0100900,450.1392,86.0581,77.5345,0,1875.2472,1190.2411,366.4198,616.1144,1061.6382,110.0646,610.9745,63.6691,162.9987,175.6889,427.3367,5848.8459,3523.8778,1667.6656,129.6147,948.2775,736.2248,63.2175,0,0,329.8349,167.7612
PF3D7_0101000,186.3546,178.1373,80.2468,77.1998,363.9092,123.1879,75.8477,91.0954,892.7566,569.575,316.1741,263.5859,84.3504,636.4225,147.4287,2375.4067,383.9109,172.6005,201.2235,603.9698,169.3289,196.2871,80.6466,361.717,341.3735,0
PF3D7_0101100,0,0,0,569.0451,127.7333,194.5772,159.7367,0,0,119.9536,0,69.3896,0,0,77.622,80.688,0,0,141.2602,0,178.305,137.7949,594.4516,253.9277,0,0
PF3D7_0101200,0,130.1602,0,225.6314,177.2658,90.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.458,471.4105,352.396,0,0
PF3D7_0101300,822.9372,629.3201,1630.0934,1977.2925,32836.6535,58044.2569,334.9414,643.6403,2001.5219,1006.0919,837.7304,1513.1856,74.4979,883.2769,781.2501,42026.63,15851.4402,14710.4567,1184.7974,1066.8465,523.4267,231.1465,284.9067,905.1558,301.4995,0
PF3D7_0101600,977.2149,1245.5,3015.7495,134.9414,3657.5448,10873.9755,596.6003,1671.9168,3421.0815,497.7941,552.6563,287.9592,368.6007,3098.9241,3221.2247,8036.304,2348.6986,2187.3032,410.3499,1319.6358,1553.8864,1658.3164,916.2799,421.5087,1193.4072,455.2446
PF3D7_0101800,0,107.175,96.5599,92.8934,0,148.2302,273.7991,219.2276,82.6339,0,0,0,101.4977,0,1862.688,1106.4357,115.4886,0,0,272.5305,101.8755,0,0,72.5415,0,0
PF3D7_0101900,0,0,0,76.8066,120.6852,122.5605,452.768,181.2629,478.2666,0,235.9228,0,923.1289,814.0898,4913.7075,0,0,0,0,676.0053,0,65.0958,80.2358,599.7911,339.6348,0
PF3D7_0102200,23236.3873,36349.7114,50934.9172,60098.533,27642.9619,85763.0864,423029.5344,246593.4377,270658.1847,33637.4664,25200.8872,22842.3305,2630823.219,471655.3849,6246683.3172,16679.2656,30898.6134,39920.3711,41778.1597,38476.6384,135541.2644,729753.3177,158884.0256,837005.4982,4183.5114,1891.3995
PF3D7_0102300,154358.9624,85364.966,211149.906,2348.0496,17791.3939,31223.2373,51880.1439,49933.9483,134699.3979,409764.5035,291059.6043,292576.8308,5188.0872,33060.4149,41602.2836,99853.1628,309887.5952,328630.2371,102049.6292,89144.9393,74219.7747,6412.3478,2725.4267,13161.299,10382.9528,3520.663
PF3D7_0102500,35990.668,66403.3814,15426.2516,12044.6215,2547.3498,3960.9745,777731.5038,344451.6527,174597.9011,1333.3584,8424.6972,9355.518,230136.0279,213173.2285,526561.2979,1340.0686,1612.4167,1319.1135,235325.9236,18494.7404,292468.8222,122308.7172,21044.6747,36045.7905,8273.505,5140.5569
