Gene,D4F1,D4F2,D4M1,D4M2,D4M3,D6F1,D6F2,D6F3,D6F4,D6M1,D6M2,D10F1,D10F2,D10F3,D10M1,D11F1
PF3D7_0100100,6622.2003,12832.6825,12151.6171,25928.9496,35496.9163,4388.2577,8501.6162,8745.984,665.9395,25830.5495,358.1072,3019.516,5547.3069,5916.2397,22242.9372,14459.0377
PF3D7_0100200,7883.8401,2519.4512,0,5449.1488,313745.0685,27282.4249,10842.2077,3883.9309,6900.402,0,338413.3745,23465.9529,5047.0828,7073.4822,1975.536,0
PF3D7_0100300,129.5988,0,0,806.1844,9479.1204,0,0,574.6154,0,0,0,1388.6856,248.9,279.0665,146.1372,0
PF3D7_0100400,55634.8497,185066.5192,46488.2423,20100.7811,869534.5783,2917.0787,25214.0238,37001.0774,351267.3233,69374.1471,1285472.7243,56452.8522,74875.304,53546.5751,55605.5958,533443.4591
PF3D7_0100600,10486.1066,7539.8884,0,4529.8638,1227058.6871,6047.9498,0,1937.2212,0,495.9749,346470.4905,9363.4503,0,470.4134,0,0
PF3D7_0100700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100800,0,0,0,0,3036.1347,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100900,0,0,0,0,2054.1257,0,0,0,696.8667,0,0,0,0,0,0,7565.2673
PF3D7_0101000,0,0,537.1753,0,1062.9925,0,0,0,0,0,0,0,0,0,5162.1834,0
PF3D7_0101100,482.0657,0,0,0,0,3336.4251,0,0,759.4782,0,0,0,0,0,0,0
PF3D7_0101200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0101300,808.6498,775.2644,2372.1533,3772.7245,0,0,417.0342,2151.2353,1274.0004,5048.703,4110.542,0,776.523,435.3185,0,0
PF3D7_0101600,3200.8299,32221.1688,0,0,252695.7599,0,0,709.5921,0,0,280666.3378,0,0,0,0,0
PF3D7_0101800,0,0,0,0,0,0,0,0,867.8637,0,0,0,0,0,0,0
PF3D7_0101900,0,0,0,0,0,0,2818.6979,403.8892,0,0,0,7320.6602,0,0,0,428452.2988
PF3D7_0102200,979.5735,5293.2867,14420.015,3508.4077,75163.1881,2465.3551,91.8513,1263.4862,2244.7781,101.0883,905.3426,0,256.5426,191.7569,200.8325,0
PF3D7_0102300,309.4228,0,0,320.8,2514.6456,0,0,1646.3029,3899.8812,0,59768.7981,1657.7735,0,0,1395.6353,0
PF3D7_0102500,1197.7727,7736.0659,15164.1107,4509.7452,24372.0172,872.6216,1235.4227,447.2156,8541.3859,3792.7423,23072.355,15536.4405,665.8975,746.6038,10520.6401,1078.2128
PF3D7_0102600,8793.3601,8844.9297,10318.0385,13600.3013,197149.9878,1995.401,6988.1796,7030.6244,5450.6131,21927.3671,732.7632,5406.2479,3737.5126,5276.9216,3250.9828,2465.521
PF3D7_0102700,10028.7686,61647.3733,14190.4064,7951.044,59243.5722,8165.8959,9735.5356,10462.4856,78070.5188,36831.3845,92960.6196,14222.767,3398.9425,13020.5477,79492.5158,0
PF3D7_0102800,1902.621,15808.613,10914.5224,3945.1579,18162.1783,0,2180.4742,2624.4844,9991.7169,80391.7065,68774.6479,9060.9274,2233.0392,3641.7192,0,3615.7089
PF3D7_0102900,29837.6863,28605.8288,11600.1079,30375.7336,7929.8887,13684.3728,27809.2638,19605.0681,41061.4375,18567.5719,0,13482.1137,36764.659,24383.9638,2229.5098,9222.7832
PF3D7_0103000,35712.5879,17119.0917,37165.5525,31515.9348,6663.4976,7356.2622,31134.4761,25259.3998,12726.3754,64670.0954,27014.1108,15944.5758,20412.9571,15792.0254,25408.4139,0
PF3D7_0103100,30642.1151,24825.673,14280.7752,15660.6776,5511.6232,19714.2147,34365.1993,28626.4949,28693.3947,22045.9882,32029.6264,22659.9714,40531.542,38195.2107,10122.3972,2952.5963
PF3D7_0103200,62158.7394,208171.0902,82546.2937,162634.6965,540021.0127,146793.5649,75375.6218,78396.8784,336134.6523,123956.8403,509175.4945,209264.8679,88323.9493,108750.7514,85245.7304,323248.6228
PF3D7_0103300,38624.8049,25647.3541,59429.9494,45966.0628,5234.5683,54089.3392,36273.5624,36116.7492,15627.3811,47086.7726,0,44286.2347,34781.163,30906.0317,31182.4796,0
PF3D7_0103400,148749.0479,33019.3511,87597.9761,69388.6478,5835.7627,140445.9014,146415.967,118202.4899,29036.9971,77452.9673,34068.1494,130662.6924,219085.9932,207455.2681,118713.3807,85971.5716
PF3D7_0103500,6628.6976,11232.1459,26951.833,16541.7791,1521.2659,19204.695,12481.6094,11004.2848,5221.6445,37710.6219,1175.4107,9910.9182,3404.7205,9626.4121,34591.7456,1318.2975
PF3D7_0103600,122637.5129,94978.0599,22597.0479,23740.6924,8453.8278,51722.9306,113546.7139,83856.4948,279401.5909,20990.7202,2435.1291,229453.021,185756.3058,172475.0743,54990.8959,560432.2998
PF3D7_0103700,12249.7516,35232.051,18398.3779,6350.083,6257.5798,16956.3524,4295.8329,3693.2813,4245.7953,5284.0576,0,57754.1033,4940.4949,12924.9854,0,0
PF3D7_0103800,682612.5962,205062.6588,275230.6427,324731.9395,98771.6449,747132.143,581550.5696,670257.6761,125814.9218,172194.173,239688.1032,597706.0785,590560.4375,540942.3908,173085.6536,78931.71
PF3D7_0103900,43794.8758,35022.158,63322.2702,27544.3754,12771.5367,5746.1372,64867.125,72333.517,15696.0789,93066.7625,22156.378,31136.6416,86501.6628,90728.4686,22468.3782,0
PF3D7_0104000,396633.2208,1035482.3825,94394.3831,242958.9765,282625.7403,295332.3487,422088.0635,362884.2183,2059796.9956,142933.8854,792956.7829,281086.6265,374829.7978,448125.5399,184578.679,1005006.8003
PF3D7_0104100,15617.2447,54344.5651,814.4495,5996.8442,47544.5072,12009.8356,13602.4355,15695.251,60144.1897,131.3189,10584.7786,30369.6383,21662.0294,22917.3909,1434.9044,166200.9952
PF3D7_0104200,11284.7616,6688.0268,23353.0558,29355.5958,47641.5777,11360.4319,11216.2258,8915.218,16162.5095,18399.815,5214.8081,13191.1858,10836.431,5964.4467,24524.2205,0
PF3D7_0104300,6569.5273,20170.513,25662.8607,29529.0669,29012.0188,18705.3376,14581.3297,12499.2203,11922.2306,21569.988,14794.9569,9578.9606,8664.2436,10609.6751,18285.2664,0
PF3D7_0104400,102083.237,74600.4617,51304.6963,63002.6464,32909.4562,175670.3869,94399.7752,99723.546,18680.6464,73187.8088,203420.7321,163779.5489,97671.7706,115294.1775,18384.2177,196461.8414
PF3D7_0104500,18977.2679,1653.9805,18725.1377,17886.4074,500.7344,5970.1627,11566.3289,20270.435,5436.008,33292.514,157852.7439,9243.02,15324.1579,14859.6196,0,0
