Gene,Day2_R1,Day2_R2,Day2_R3,Day4_R1,Day4_R2,Day4_R3,Day5_R1,Day5_R2,Day5_R3,Day6_R1,Day6_R2,Day6_R3,S1,S2,S3,S4,S5
PF3D7_0100100,0,0,0,0,0,0,0,114.8191,0,650.1425,28.2463,342.9977,26851.3697,26365.2411,21222.7221,38096.5258,24377.5906
PF3D7_0100200,0,0,0,0,0,0,0,0,0,790.8317,92.4269,758.21,1753.5588,1273.9622,1061.2174,1980.8373,6259.0722
PF3D7_0100300,0,0,0,0,0,0,0,0,0,0,0,0,0,502.6099,52.3346,753.5794,396.8615
PF3D7_0100600,0,0,0,0,0,0,0,0,1331.0405,0,0,0,1399.4199,423.6166,88.2187,5645.7089,445.9844
PF3D7_0102200,0,0,0,13003.2072,0,0,1103.4148,0,0,446.6431,58.2558,0,71.3065,86.3405,17.9805,517.8122,90.8994
PF3D7_0102400,0,0,0,0,0,0,0,379.8708,3727.7229,10380.668,14391.4205,3026.088,0,451.9559,94.1204,301.1699,475.82
PF3D7_0102500,0,0,0,0,0,0,781.1155,256.8625,192.0477,2137.3899,811.4914,429.7002,555.2627,366.7263,343.6706,1588.4402,1029.5736
PF3D7_0102600,0,0,0,0,0,0,0,0,274.469,751.9252,629.6927,187.1589,3693.6865,7687.0145,1833.6793,7543.8927,4267.1671
PF3D7_0102700,0,0,0,0,0,0,0,5047.75,3032.7088,1656.9255,3012.6406,1723.323,82192.6479,146708.7594,94932.4782,73750.5249,155960.6646
PF3D7_0102800,75102.1728,0,0,15434.2638,1631.7093,10754.7503,14406.7802,9130.5195,11028.8087,12765.932,30598.7613,5969.7276,62293.485,123593.9104,81697.6409,86047.0096,87609.7482
PF3D7_0102900,117068.814,0,0,4374.3341,83241.7755,91442.3996,95396.7099,78511.2139,52430.5106,55461.2493,65396.2397,63379.0389,1295.3425,2091.2612,798.4313,3367.7552,1100.8418
PF3D7_0103000,0,0,0,0,10391.4802,0,12291.7379,4503.9674,9066.2632,3966.1693,16346.4586,9176.7557,2723.4353,3915.9364,3047.3911,4944.2452,4339.6895
PF3D7_0103100,0,0,0,0,8660.9746,0,32441.8036,6119.55,7165.4776,17992.1138,15047.2202,16669.894,1451.4254,3682.2481,836.5452,3457.5426,1497.8073
PF3D7_0103200,49734.9809,34221.3371,0,342405.066,282568.6323,213663.8457,475729.7729,404545.9018,362328.7625,554846.0751,88522.2176,803277.4233,15133.453,28911.3798,4876.0274,48706.8893,7931.0162
PF3D7_0103300,115682.5905,0,0,117041.0059,38667.398,7645.8141,52452.1262,32088.123,33995.222,34041.0834,36783.2034,28212.1956,1564.4496,2768.578,910.3581,3495.5952,1687.495
PF3D7_0103400,93695.3026,0,0,11326.6718,22272.6628,4735.5233,3460.1358,16915.7839,25663.4032,26798.1971,11554.089,13032.1457,13267.2972,31316.7641,13231.4636,23394.4306,16152.6196
PF3D7_0103500,0,0,0,0,7535.7265,0,4616.055,14383.8481,9421.782,10453.283,3819.1008,12092.1073,2407.0183,5231.1574,1369.5259,6025.604,1337.5047
PF3D7_0103600,0,0,0,9326.7052,2465.0466,0,12267.2798,3201.1577,4049.8096,9437.8075,7854.8457,3400.098,1917.955,3158.3646,1122.0163,5633.006,1760.3641
