Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3
PF3D7_0100100,53.615,76.5729,21.2169,9.135,17.9267,10.9402,46.178,77.7345,51.1115,16.5587,25.6972,33.4309,17.8294,132.2311,59.6102,14.602,15.9498,17.4909,56.08,66.5597,57.1644,10.1339,9.0682,14.0585
PF3D7_0100200,13.9393,9.0794,44.5813,13.8281,32.2883,82.0823,11.2586,29.3481,44.0632,2.1522,3.2656,5.5826,3.1313,36.4732,20.6496,80.8499,15.6417,9.6599,23.6035,14.8338,18.6536,31.8407,23.9023,10.2005
PF3D7_0100300,0.1793,0.1791,1.2415,3.2149,1.9568,3.1927,0.4543,0.472,0.7588,0.2123,0.0743,0.0635,0.278,2.1011,2.3315,0.2051,0.4366,0.49,0.133,0.7568,1.2588,3.1405,4.3819,7.2793
PF3D7_0100400,103.5191,47.4715,116.588,33.2667,89.4691,237.1473,72.1454,82.8826,144.4799,38.6599,41.0938,61.366,11.1489,95.044,108.7672,184.5004,64.7515,75.428,78.9564,25.5956,91.9555,14.1249,31.7515,22.7112
PF3D7_0100600,4.8366,1.8115,11.7721,0.4927,3.8807,9.0339,6.1261,14.32,23.722,0.3578,1.5035,0.6426,9.3709,37.994,24.3937,8.2957,1.7664,1.3766,4.4849,2.5513,13.0582,2.2527,0.2592,1.5962
PF3D7_0100700,0,0,0,0,1.1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3627,0,0
PF3D7_0100800,0,0,0,0,1.1614,1.9174,0,0.3174,0,0.357,0,0,0,0.6424,0.2704,2.5286,0.2937,0,0.2237,0,0.3257,0,0,0
PF3D7_0100900,1.5301,0.3056,0.2648,0,6.2858,3.8918,1.292,2.2551,3.7671,0.3623,2.0295,0.2168,0.6325,0.6519,1.6464,18.4295,11.3257,5.5746,0.454,3.3577,2.9744,0.2281,0,0
PF3D7_0101000,0.6335,0.6327,0.2741,0.2581,1.2198,0.4028,0.2674,0.3334,3.1679,1.8746,1.0502,0.8977,0.3273,2.3616,0.568,7.4848,1.2339,0.577,0.7049,2.1386,0.6841,0.7081,0.2716,1.2543
PF3D7_0101100,0,0,0,1.9024,0.4282,0.6362,0.5633,0,0,0.3948,0,0.2363,0,0,0.299,0.2542,0,0,0.4948,0,0.7204,0.4971,2.0017,0.8805
PF3D7_0101200,0,0.4623,0,0.7543,0.5942,0.2943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3797,1.5874,1.222
PF3D7_0101300,2.7974,2.2351,5.568,6.6105,110.0685,189.7884,1.1811,2.3558,7.1022,3.3113,2.7827,5.1535,0.2891,3.2776,3.0098,132.4245,50.9465,49.1732,4.1503,3.7775,2.1147,0.8339,0.9594,3.1388
PF3D7_0101600,3.3218,4.4235,10.301,0.4511,12.2601,35.5548,2.1037,6.1195,12.1394,1.6384,1.8358,0.9807,1.4302,11.4992,12.4101,25.3221,7.5487,7.3116,1.4374,4.6726,6.2779,5.9823,3.0853,1.4617
PF3D7_0101800,0,0.3806,0.3298,0.3106,0,0.4847,0.9655,0.8024,0.2932,0,0,0,0.3938,0,7.1762,3.4863,0.3712,0,0,0.965,0.4116,0,0,0.2516
PF3D7_0101900,0,0,0,0.2568,0.4045,0.4007,1.5965,0.6635,1.6971,0,0.7837,0,3.5818,3.0208,18.9305,0,0,0,0,2.3936,0,0.2348,0.2702,2.0799
PF3D7_0102200,78.9863,129.0987,173.9804,200.923,92.6593,280.4211,1491.6621,902.5794,960.4039,110.7097,83.7101,77.7947,10207.8969,1750.1739,24065.9402,52.5558,99.308,133.4435,146.3482,136.2398,547.6031,2632.5529,535.0015,2902.4765
PF3D7_0102300,524.7046,303.1801,721.2329,7.8501,59.6368,102.0912,182.9367,182.7679,477.9676,1348.6419,966.8167,996.4369,20.1304,122.6774,160.2767,314.6339,995.9777,1098.5258,357.4781,315.6483,299.8569,23.1323,9.1772,45.6393
PF3D7_0102500,122.3412,235.8366,52.692,40.2679,8.5387,12.9513,2742.3915,1260.7593,619.5435,4.3884,27.9844,31.8623,892.9543,791.0229,2028.6274,4.2225,5.1823,4.4095,824.3426,65.487,1181.6095,441.2233,70.8626,124.9957
PF3D7_0102600,41.7886,66.8374,83.4623,690.7999,1459.1458,1673.4247,38.7392,82.4179,69.9024,51.9454,95.3255,56.9585,181.5888,134.8083,129.4867,254.5403,124.2332,132.078,29.6682,131.0605,56.5465,120.9234,168.7948,240.5348
PF3D7_0102700,62.0385,104.5582,161.7719,86.9719,26.9841,36.0735,398.2326,468.5447,168.3109,28.2634,46.1834,21.4007,2976.0911,611.8955,988.0847,23.1793,31.8003,23.4196,115.206,105.9259,123.1976,493.037,201.0368,166.6183
PF3D7_0102800,33.055,15.4842,46.8328,0.8343,7.135,8.835,5.9281,16.3208,41.8602,63.3666,50.8017,50.7813,36.7261,14.4885,24.1301,21.853,39.3152,52.8861,21.3746,23.0839,21.3238,10.8995,3.8874,6.9507
PF3D7_0102900,508.1298,391.7337,698.5661,1051.1623,1426.7602,1346.545,180.8249,197.6791,514.6445,980.8359,741.0028,770.6634,88.1535,212.9969,201.71,1322.4444,1273.0433,1323.7355,317.4412,531.1922,319.0988,629.252,982.4087,932.5196
PF3D7_0103000,169.4274,66.2462,117.2224,0.9588,3.2097,4.5823,32.7857,67.813,109.8702,49.7906,58.6424,99.9376,4.8632,61.0952,30.7256,7.3995,19.4802,26.5227,87.0636,35.3765,77.6681,5.8088,2.9002,6.3097
PF3D7_0103100,121.4079,96.4434,91.9918,4.5743,18.6677,17.4292,53.7546,53.0591,76.4986,64.5403,83.2171,89.5797,7.5902,40.7736,31.0563,25.0835,38.9098,41.6639,111.5938,76.1576,88.2908,7.343,2.6112,9.1051
PF3D7_0103200,789.3497,712.466,863.9115,431.4169,780.47,714.2016,373.8101,440.4835,685.9861,948.3022,911.8396,851.4649,65.9072,428.5126,287.765,1002.428,1049.7791,968.773,697.4346,708.1427,705.9082,149.1961,373.9453,324.1243
PF3D7_0103300,248.8256,242.4891,297.4917,298.2526,270.6426,229.8199,258.3994,254.1687,276.3149,243.7069,238.7634,204.6745,79.5102,216.3045,279.323,215.7583,235.1459,239.3203,202.4809,205.0927,312.0639,227.348,335.7379,291.474
PF3D7_0103400,402.3812,678.4529,523.7834,50.3274,246.8706,230.957,730.4972,830.6366,610.4314,424.4692,396.342,390.9805,324.555,863.1609,588.068,275.9052,417.1009,485.9718,518.1657,775.313,798.5768,107.3117,38.6511,70.1368
PF3D7_0103500,34.9293,22.0497,60.7791,2.0424,5.4083,8.1041,14.7247,23.0166,56.2491,36.6754,36.3376,54.0336,7.7146,22.607,23.5248,10.9352,34.2261,56.7301,21.916,15.1226,53.2137,4.9278,2.789,4.8925
PF3D7_0103600,162.2722,144.4576,319.9858,24.1451,94.1176,68.5344,68.6793,85.0636,241.1235,119.7395,128.748,141.9404,10.343,127.0914,76.7905,105.5597,114.2045,160.4154,93.3321,283.3123,361.2288,16.005,11.9918,22.6635
PF3D7_0103700,100.6846,58.5741,139.5008,83.7025,99.5521,77.2772,32.9195,50.1407,100.1538,101.1247,116.3436,103.7694,7.7067,74.2043,48.4819,77.6565,94.4268,131.2252,48.2848,59.5126,105.9882,61.2628,86.0332,86.593
PF3D7_0103800,153.2598,344.2618,130.5895,12.8959,11.1384,12.9757,96.8251,171.8597,146.3219,15.6111,83.5471,84.7902,7.8897,169.7509,59.7466,7.831,6.8953,10.8738,161.6818,264.4416,104.1949,17.4833,25.8278,21.1659
PF3D7_0103900,118.3279,102.1158,194.7371,21.2971,42.124,46.4765,41.4701,47.0141,146.167,139.2176,160.5859,170.0261,4.1549,52.0056,48.0266,65.1334,127.9688,162.8363,97.6859,132.7129,113.2102,6.9559,6.8947,22.0842
PF3D7_0104000,32.4265,67.6716,25.9679,0,0.932,3.3851,15.5295,63.1763,48.0335,12.0308,17.6528,19.8899,1.5003,51.5509,27.3387,0,2.8281,6.1713,31.2354,19.6067,28.7469,1.8033,3.7345,5.7499
PF3D7_0104100,49.2227,64.8282,21.8875,1.1087,4.5723,4.1222,50.2143,53.8391,67.7964,8.3372,36.1595,41.1156,13.7289,45.2684,41.7662,4.82,3.9754,6.1963,78.5511,17.428,70.7907,8.6484,1.7841,4.7016
PF3D7_0104200,213.0736,243.0036,154.6658,34.471,148.6127,118.7846,1284.7291,725.0654,388.8019,124.6818,178.2777,158.4194,667.2734,544.7837,1060.2455,161.1278,173.5064,171.053,534.9523,102.0769,449.3319,217.813,45.1534,72.988
PF3D7_0104300,105.4027,180.861,145.4627,208.9106,139.4846,109.7862,659.0631,429.3268,238.9841,91.805,82.9156,79.1689,1609.8961,608.3524,1647.8636,90.0852,86.572,97.494,191.5284,170.9502,393.8048,543.0556,212.16,233.9605
PF3D7_0104400,236.1085,210.8476,251.4741,15.8765,67.3021,77.5101,117.7606,126.4355,189.6404,216.5191,219.3145,196.9066,61.1932,118.2363,127.3428,102.891,166.7828,163.6786,170.8726,123.762,261.9062,37.922,14.0669,30.9648
PF3D7_0104500,236.9304,142.1581,359.2088,508.4443,492.2506,489.7153,81.3864,71.3072,215.8031,515.7074,408.1499,292.2048,43.7852,80.0962,85.35,682.6422,613.2048,539.2173,105.8109,247.567,124.3913,245.0532,424.4381,369.6831
PF3D7_0104600,17.3082,9.8067,41.6232,15.9348,23.3946,17.7251,5.3401,5.7815,29.8975,13.2976,18.3487,18.6318,2.4076,7.8884,7.9833,15.668,23.5833,32.9685,8.8273,10.4644,24.8926,7.8754,7.7051,14.6095
PF3D7_0104700,9.3889,3.2994,40.1748,0.1417,0.4464,0.2211,6.7535,8.2365,34.7797,3.293,4.9005,5.9135,4.3119,8.1487,8.1066,0,2.54,4.4341,6.3201,6.1633,22.3446,0.5183,0,0.9181
PF3D7_0104800,127.1393,98.6451,143.282,6.4828,7.2262,11.5488,141.7057,159.5972,188.1252,89.9078,93.324,86.7892,30.5564,154.9285,139.1648,27.2333,48.6815,52.0887,136.7405,69.5517,134.8722,29.5311,18.4035,21.7964
PF3D7_0105100,60.8897,28.0913,86.9322,0.7556,3.5711,9.237,20.0964,22.4509,50.413,70.979,64.8237,60.4457,2.2357,16.7903,13.5796,28.9808,52.3781,46.1682,41.0424,13.0433,34.0471,3.2247,0,2.0401
PF3D7_0105200,65.6344,120.3573,81.2764,27.4307,210.9425,143.2824,62.5604,81.2297,117.7856,207.6058,144.6222,118.2803,14.295,55.1752,49.0643,209.2724,225.4506,268.2384,92.5895,140.3686,99.1015,8.2474,10.8065,18.9719
PF3D7_0105300,950.5043,677.7696,588.9156,7.0193,3.6285,7.1889,768.5116,1093.5498,733.9721,139.5664,282.7278,430.4938,68.9838,821.7571,291.3239,7.7977,44.8307,52.9581,1382.4616,325.1135,543.6263,60.983,23.7718,27.3616
