Chr,Gene,MIS,MFS,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
chr1,PF3D7_0100100,1,-1.706,,
chr1,PF3D7_0100200,0.182,-2.624,,
chr1,PF3D7_0100300,0.663,-2.461,,
chr1,PF3D7_0100400,0.984,-1.854,,
chr1,PF3D7_0100500,0.146,-2.885,,
chr1,PF3D7_0100600,0.888,-2.239,,
chr1,PF3D7_0100700,0.122,0,,
chr1,PF3D7_0100800,0.206,-2.632,,
chr1,PF3D7_0100900,1,1.011,,
chr1,PF3D7_0101000,0.703,-2.524,,
chr1,PF3D7_0101100,0.151,-2.77,,
chr1,PF3D7_0101200,0.795,-2.494,,
chr1,PF3D7_0101300,1,-1.492,,
chr1,PF3D7_0101400,0.14,-3.052,,
chr1,PF3D7_0101500,0.963,-2.374,,
chr1,PF3D7_0101600,0.199,-2.872,,
chr1,PF3D7_0101700,0.895,-2.228,,
chr1,PF3D7_0101800,0.513,-2.311,,
chr1,PF3D7_0101900,0.994,-2.047,,
chr1,PF3D7_0102000,0.693,-2.364,,
chr1,PF3D7_0102100,0.929,-2.129,,
chr1,PF3D7_0102200,1,-2.166,116,6
chr1,PF3D7_0102300,0.932,-1.688,44,7
chr1,PF3D7_0102400,0.147,-2.741,,
chr1,PF3D7_0102500,0.999,-2.102,1101,48
chr1,PF3D7_0102600,1,-0.921,296,18
chr1,PF3D7_0102700,0.142,-2.851,123,11
chr1,PF3D7_0102800,0.99,-0.096,253,17
chr1,PF3D7_0102900,0.119,-2.954,217,7
chr1,PF3D7_0103000,0.123,-3.123,110,5
chr1,PF3D7_0103100,0.165,-2.812,1146,28
chr1,PF3D7_0103200,0.12,-3.064,117,12
chr1,PF3D7_0103300,0.12,-2.961,898,32
chr1,PF3D7_0103400,1,-0.537,1080,33
chr1,PF3D7_0103500,1,-0.989,462,11
chr1,PF3D7_0103600,1,-1.61,3693,47
chr1,PF3D7_0103700,1,-2.284,376,21
chr1,PF3D7_0103800,1,0.633,30,1
chr1,PF3D7_0103900,0.128,-3.12,188,5
chr1,PF3D7_0104000,0.989,-0.714,50,4
chr1,PF3D7_0104100,0.119,-3.035,4631,55
chr1,PF3D7_0104200,0.28,-3.379,245,19
