Gene,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
PF3D7_0102200,116,6
PF3D7_0102300,44,7
PF3D7_0102500,1101,48
PF3D7_0102600,296,18
PF3D7_0102700,123,11
PF3D7_0102800,253,17
PF3D7_0102900,217,7
PF3D7_0103000,110,5
PF3D7_0103100,1146,28
PF3D7_0103200,117,12
PF3D7_0103300,898,32
PF3D7_0103400,1080,33
PF3D7_0103500,462,11
PF3D7_0103600,3693,47
PF3D7_0103700,376,21
PF3D7_0103800,30,1
PF3D7_0103900,188,5
PF3D7_0104000,50,4
PF3D7_0104100,4631,55
PF3D7_0104200,245,19
PF3D7_0104300,1345,10
PF3D7_0104400,132,4
PF3D7_0104500,48,3
PF3D7_0104600,620,14
PF3D7_0104700,291,16
PF3D7_0104800,133,9
PF3D7_0105000,10,3
PF3D7_0105100,48,3
PF3D7_0105200,153,5
PF3D7_0105300,51,2
PF3D7_0105400,49,1
PF3D7_0105500,111,3
PF3D7_0105600,532,18
PF3D7_0105700,1628,34
PF3D7_0105800,268,15
PF3D7_0105900,181,4
PF3D7_0106000,314,16
PF3D7_0106100,37,3
PF3D7_0106200,107,7
PF3D7_0106300,440,23
PF3D7_0106400,68,3
PF3D7_0106500,1179,32
PF3D7_0106600,137,5
PF3D7_0106700,629,23
PF3D7_0106800,26,1
PF3D7_0106900,370,19
PF3D7_0107000,12,1
PF3D7_0107100,185,7
PF3D7_0107200,148,7
PF3D7_0107300,144,4
PF3D7_0107400,33,1
PF3D7_0107500,390,21
PF3D7_0107600,943,30
PF3D7_0107700,122,3
PF3D7_0107800,896,28
PF3D7_0107900,96,4
PF3D7_0108000,19,1
PF3D7_0108100,213,10
PF3D7_0108300,972,18
PF3D7_0108400,74,6
PF3D7_0108500,269,20
PF3D7_0108600,165,8
PF3D7_0108700,482,8
PF3D7_0108800,63,3
PF3D7_0108900,5,1
PF3D7_0109000,25,1
PF3D7_0109100,221,9
PF3D7_0109200,39,3
PF3D7_0109300,55,1
PF3D7_0109400,72,4
PF3D7_0109500,19,1
PF3D7_0109600,45,3
PF3D7_0109700,37,4
PF3D7_0109800,190,4
PF3D7_0109850,263,9
PF3D7_0109950,46,3
PF3D7_0110000,107,4
PF3D7_0110100,178,8
PF3D7_0110200,27,3
PF3D7_0110400,54,3
PF3D7_0110500,377,5
PF3D7_0110600,343,21
PF3D7_0110700,78,2
PF3D7_0110800,28,4
PF3D7_0110900,62,2
PF3D7_0111000,742,24
PF3D7_0111200,17,1
PF3D7_0111300,540,27
PF3D7_0111400,197,5
PF3D7_0111500,92,9
PF3D7_0111600,89,4
PF3D7_0111700,22,3
PF3D7_0111800,172,9
PF3D7_0111900,9,2
PF3D7_0112000,39,2
PF3D7_0112100,15,1
PF3D7_0112200,210,21
PF3D7_0112400,5,1
PF3D7_0112700,1,1
PF3D7_0112800,60,9
PF3D7_0112900,38,3
PF3D7_0113000,898,39
PF3D7_0113100,3657,20
PF3D7_0113200,1861,85
PF3D7_0113300,735,15
PF3D7_0113400,219,10
PF3D7_0113700,97,10
PF3D7_0113800,118,1
PF3D7_0113900,87,6
PF3D7_0114000,246,9
PF3D7_0114100,37,5
PF3D7_0114200,190,7
PF3D7_0114500,217,49
PF3D7_0114700,548,31
PF3D7_0114750,16,2
PF3D7_0114800,127,14
PF3D7_0202100,164,41
PF3D7_0202200,86,8
PF3D7_0202300,99,4
PF3D7_0202400,431,20
PF3D7_0202500,30,4
PF3D7_0202600,779,30
PF3D7_0202700,80,7
PF3D7_0202800,51,5
PF3D7_0202900,106,7
PF3D7_0203000,776,15
PF3D7_0203100,916,19
PF3D7_0203200,299,7
PF3D7_0203300,66,3
PF3D7_0203400,24,3
PF3D7_0203500,1,1
PF3D7_0203600,308,13
PF3D7_0203700,192,12
PF3D7_0203800,81,1
PF3D7_0203900,294,15
PF3D7_0204000,388,9
PF3D7_0204100,719,18
PF3D7_0204200,25,1
PF3D7_0204300,528,12
PF3D7_0204400,26,2
PF3D7_0204500,139,7
PF3D7_0204600,677,24
PF3D7_0204700,41,3
PF3D7_0204800,184,16
PF3D7_0204900,112,4
PF3D7_0205000,334,8
PF3D7_0205100,429,11
PF3D7_0205200,95,2
PF3D7_0205300,429,14
PF3D7_0205400,73,5
PF3D7_0205500,12,2
PF3D7_0205600,97,3
PF3D7_0205700,59,4
PF3D7_0205800,10,1
PF3D7_0205900,124,5
PF3D7_0206000,865,20
PF3D7_0206100,72,5
PF3D7_0206200,63,3
PF3D7_0206500,507,11
PF3D7_0206600,11,3
PF3D7_0206700,102,2
PF3D7_0206800,386,13
PF3D7_0206900,76,6
PF3D7_0207000,397,64
PF3D7_0207100,673,31
PF3D7_0207200,31,2
PF3D7_0207300,865,65
PF3D7_0207400,579,30
PF3D7_0207500,411,23
PF3D7_0207600,426,40
PF3D7_0207700,1128,45
PF3D7_0207800,379,12
PF3D7_0207900,1503,35
PF3D7_0208000,453,17
PF3D7_0208100,981,36
PF3D7_0208200,61,4
PF3D7_0208300,72,2
PF3D7_0208400,1175,22
PF3D7_0208500,55,3
PF3D7_0208600,241,9
PF3D7_0208700,39,1
PF3D7_0208800,99,9
PF3D7_0208900,1274,33
PF3D7_0209000,3551,20
PF3D7_0209100,142,11
PF3D7_0209200,91,3
PF3D7_0209300,66,2
PF3D7_0209400,168,4
PF3D7_0209500,210,12
PF3D7_0209600,228,12
PF3D7_0209700,165,10
PF3D7_0209800,13,1
PF3D7_0210000,3,1
PF3D7_0210100,12,1
PF3D7_0210200,918,9
PF3D7_0210300,44,1
PF3D7_0210400,21,1
PF3D7_0210500,528,22
PF3D7_0210600,81,2
PF3D7_0210700,74,7
PF3D7_0210800,282,22
PF3D7_0210900,72,1
PF3D7_0211100,457,19
PF3D7_0211200,30,2
PF3D7_0211300,59,1
PF3D7_0211400,58,4
PF3D7_0211500,370,9
PF3D7_0211600,34,3
PF3D7_0211700,1259,16
PF3D7_0211800,114,6
PF3D7_0211900,147,6
PF3D7_0212000,67,7
PF3D7_0212100,653,23
PF3D7_0212200,62,2
PF3D7_0212300,7,1
PF3D7_0212400,1939,15
PF3D7_0212500,2257,29
PF3D7_0212600,62,2
PF3D7_0212700,227,9
PF3D7_0212800,678,28
PF3D7_0212900,36,3
PF3D7_0213000,46,5
PF3D7_0213100,19,1
PF3D7_0213200,48,3
PF3D7_0213300,12,1
PF3D7_0213400,99,6
PF3D7_0213500,199,6
PF3D7_0213600,963,24
PF3D7_0213700,9,2
PF3D7_0213800,173,9
PF3D7_0213900,460,17
PF3D7_0214000,94,2
PF3D7_0214100,432,8
PF3D7_0214200,32,2
PF3D7_0214300,697,9
PF3D7_0214400,336,14
PF3D7_0214500,108,6
PF3D7_0214600,940,26
PF3D7_0214700,98,6
PF3D7_0214800,776,30
PF3D7_0214900,417,9
PF3D7_0215000,679,37
PF3D7_0215100,42,4
PF3D7_0215200,40,5
PF3D7_0215300,448,48
PF3D7_0215400,200,10
PF3D7_0215500,48,1
PF3D7_0215600,164,9
PF3D7_0215700,110,2
PF3D7_0215800,296,9
PF3D7_0215900,103,5
PF3D7_0216000,440,16
PF3D7_0216100,431,18
PF3D7_0216200,134,10
PF3D7_0216300,1277,28
PF3D7_0216400,196,11
PF3D7_0216500,1117,28
PF3D7_0216600,345,11
PF3D7_0216700,448,15
PF3D7_0216800,431,9
PF3D7_0216900,454,24
PF3D7_0217000,434,18
PF3D7_0217100,52,3
PF3D7_0217200,639,17
PF3D7_0217300,9,3
PF3D7_0217400,51,4
PF3D7_0217500,21,1
PF3D7_0217600,728,27
PF3D7_0217700,122,6
PF3D7_0217800,4,2
PF3D7_0217900,371,21
PF3D7_0218000,45,2
PF3D7_0218100,106,5
PF3D7_0218200,447,13
PF3D7_0218300,159,9
PF3D7_0218400,176,6
PF3D7_0218500,14,1
PF3D7_0218600,1542,22
PF3D7_0218700,174,12
PF3D7_0219100,183,7
PF3D7_0219200,4,1
PF3D7_0219300,63,6
PF3D7_0219400,5,2
PF3D7_0219500,89,3
PF3D7_0219600,213,11
PF3D7_0219700,137,14
PF3D7_0219800,139,11
PF3D7_0219900,89,13
PF3D7_0220000,45,0
PF3D7_0220100,580,42
PF3D7_0220200,22,2
PF3D7_0220300,33,14
PF3D7_0220500,23,4
PF3D7_0220600,54,5
PF3D7_0220700,109,11
PF3D7_0220800,1351,69
PF3D7_0221000,192,23
PF3D7_0221200,94,28
PF3D7_0221400,135,17
PF3D7_0301000,274,19
PF3D7_0301100,156,13
PF3D7_0301200,130,14
PF3D7_0301300,108,11
PF3D7_0301400,140,25
PF3D7_0301500,127,14
PF3D7_0301600,464,45
PF3D7_0301700,74,6
PF3D7_0301800,83,10
PF3D7_0301900,107,12
PF3D7_0302000,206,21
PF3D7_0302100,514,28
PF3D7_0302200,4,0
PF3D7_0302500,10,0
PF3D7_0302600,983,49
PF3D7_0302700,33,2
PF3D7_0302800,176,11
PF3D7_0302900,136,9
PF3D7_0303000,247,9
PF3D7_0303100,947,36
PF3D7_0303200,347,10
PF3D7_0303300,20,1
PF3D7_0303400,112,6
PF3D7_0303500,643,14
PF3D7_0303600,75,2
PF3D7_0303700,198,16
PF3D7_0303800,209,13
PF3D7_0303900,74,4
PF3D7_0304000,331,14
PF3D7_0304100,219,13
PF3D7_0304200,25,2
PF3D7_0304300,924,22
PF3D7_0304400,4,1
PF3D7_0304500,23,1
PF3D7_0304600,273,26
PF3D7_0304700,397,44
PF3D7_0304800,749,26
PF3D7_0304900,40,1
PF3D7_0305000,121,5
PF3D7_0305100,839,5
PF3D7_0305200,153,5
PF3D7_0305300,506,12
PF3D7_0305400,26,1
PF3D7_0305500,1663,32
PF3D7_0305600,257,13
PF3D7_0305700,22,1
PF3D7_0305800,749,28
PF3D7_0305900,88,2
PF3D7_0306000,33,3
PF3D7_0306100,448,22
PF3D7_0306200,134,5
PF3D7_0306300,35,2
PF3D7_0306400,93,5
PF3D7_0306500,79,4
PF3D7_0306600,20,2
PF3D7_0306700,29,3
PF3D7_0306800,59,2
PF3D7_0306900,6,1
PF3D7_0307100,17,1
PF3D7_0307200,45,3
PF3D7_0307300,240,11
PF3D7_0307400,121,3
PF3D7_0307500,115,8
PF3D7_0307600,573,21
PF3D7_0307700,610,21
PF3D7_0307800,142,10
PF3D7_0307900,1205,4
PF3D7_0308000,96,3
PF3D7_0308100,2618,27
PF3D7_0308200,48,2
PF3D7_0308300,207,15
PF3D7_0308500,39,2
PF3D7_0308600,129,6
PF3D7_0308700,258,10
PF3D7_0308800,46,3
PF3D7_0308900,604,33
PF3D7_0309000,188,9
PF3D7_0309100,45,5
PF3D7_0309200,916,11
PF3D7_0309300,41,2
PF3D7_0309500,88,5
PF3D7_0309600,20,1
PF3D7_0309700,350,10
PF3D7_0309800,66,3
PF3D7_0309900,809,26
PF3D7_0310000,92,5
PF3D7_0310100,75,5
PF3D7_0310200,46,0
PF3D7_0310300,285,15
PF3D7_0310400,388,18
PF3D7_0310500,1162,35
PF3D7_0310600,65,3
PF3D7_0310700,15,1
PF3D7_0310800,21,3
PF3D7_0310900,285,11
PF3D7_0311000,56,12
PF3D7_0311100,380,19
PF3D7_0311200,771,22
PF3D7_0311300,199,9
PF3D7_0311400,1399,31
PF3D7_0311500,10,1
PF3D7_0311600,334,16
PF3D7_0311700,77,8
PF3D7_0311800,81,4
PF3D7_0311900,706,49
PF3D7_0312000,29,2
PF3D7_0312100,343,14
PF3D7_0312200,622,23
PF3D7_0312300,57,2
PF3D7_0312400,42,2
PF3D7_0312500,291,7
PF3D7_0312800,11,1
