Chr,Gene,Ring,ET,LT,Schizont,GII,GV,MIS,MFS,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
chr1,PF3D7_0100100,113.1362,31.2774,9.2534,4.9835,7.4083,2.1952,1,-1.706,,
chr1,PF3D7_0100200,18.246,19.8714,2.1709,2.2131,2.9243,3.4119,0.182,-2.624,,
chr1,PF3D7_0100300,10.7978,3.1499,1.9271,5.8936,0,0.2243,0.663,-2.461,,
chr1,PF3D7_0100400,14.0464,10.244,42.3036,0,6.3317,3.6481,0.984,-1.854,,
chr1,PF3D7_0100500,,,,,,,0.146,-2.885,,
chr1,PF3D7_0100600,8.1907,4.9557,1.0828,0,5.1051,1.1345,0.888,-2.239,,
chr1,PF3D7_0100700,0,0,0,0,0,0,0.122,0,,
chr1,PF3D7_0100800,5.4471,6.3561,0,0,0,1.1318,0.206,-2.632,,
chr1,PF3D7_0100900,4.6066,9.3173,0.5481,2.235,0.7383,0.3829,1,1.011,,
chr1,PF3D7_0101000,10.4891,11.1268,0.5673,0,0.7641,0,0.703,-2.524,,
chr1,PF3D7_0101100,0,0,0,0,0,0,0.151,-2.77,,
chr1,PF3D7_0101200,0,0,0,0,0,0,0.795,-2.494,,
chr1,PF3D7_0101300,4.2109,61.5834,0.501,0,0.6749,0,1,-1.492,,
chr1,PF3D7_0101400,,,,,,,0.14,-3.052,,
chr1,PF3D7_0101500,,,,,,,0.963,-2.374,,
chr1,PF3D7_0101600,17.5011,18.8008,2.4789,2.0217,2.6714,1.0389,0.199,-2.872,,
chr1,PF3D7_0101700,,,,,,,0.895,-2.228,,
chr1,PF3D7_0101800,2.2948,5.3555,0.6826,2.7834,0,0,0.513,-2.311,,
chr1,PF3D7_0101900,16.1279,2.214,10.1589,34.521,0.7603,0,0.994,-2.047,,
chr1,PF3D7_0102000,,,,,,,0.693,-2.364,,
chr1,PF3D7_0102100,,,,,,,0.929,-2.129,,
chr1,PF3D7_0102200,2903.453,59.5937,949.1009,272.6799,9.3645,4.3164,1,-2.166,116,6
chr1,PF3D7_0102300,10.3121,11.0301,59.0462,26.5789,23.2416,8.0346,0.932,-1.688,44,7
chr1,PF3D7_0102400,,,,,,,0.147,-2.741,,
chr1,PF3D7_0102500,32.4333,4.0859,161.2314,84.0932,18.5198,11.7314,0.999,-2.102,1101,48
chr1,PF3D7_0102600,20.718,95.5331,7.5023,0.7284,10.3465,11.8533,1,-0.921,296,18
chr1,PF3D7_0102700,35.02,13.8603,19.006,5.9616,14.278,42.3805,0.142,-2.851,123,11
chr1,PF3D7_0102800,15.4117,7.1934,20.9565,10.6818,25.0536,85.0849,0.99,-0.096,253,17
chr1,PF3D7_0102900,123.9247,234.1632,131.6327,49.9524,42.6037,43.7173,0.119,-2.954,217,7
chr1,PF3D7_0103000,10.1839,3.7889,23.7068,59.076,64.2233,43.9744,0.123,-3.123,110,5
chr1,PF3D7_0103100,22.4736,2.9371,55.2968,13.9565,14.2635,67.4633,0.165,-2.812,1146,28
chr1,PF3D7_0103200,33.2428,256.5591,148.3216,76.3975,322.478,171.7639,0.12,-3.064,117,12
chr1,PF3D7_0103300,149.6353,126.3881,96.0953,43.2857,16.8078,30.1794,0.12,-2.961,898,32
chr1,PF3D7_0103400,42.8492,171.4919,197.2389,118.5261,34.6485,293.1094,1,-0.537,1080,33
chr1,PF3D7_0103500,11.8805,4.4961,17.3828,4.6736,10.2925,19.3472,1,-0.989,462,11
chr1,PF3D7_0103600,29.5357,63.3402,48.7949,16.9441,49.4167,122.7339,1,-1.61,3693,47
chr1,PF3D7_0103700,14.2886,10.7183,17.9114,2.4758,16.7665,49.6207,1,-2.284,376,21
chr1,PF3D7_0103800,21.3149,5.2019,64.8933,56.7759,181.192,300.2787,1,0.633,30,1
chr1,PF3D7_0103900,13.4022,23.5421,85.6454,19.9265,17.669,215.5816,0.128,-3.12,188,5
chr1,PF3D7_0104000,29.1413,4.5339,18.2031,21.2077,39.6997,123.5167,0.989,-0.714,50,4
chr1,PF3D7_0104100,12.2889,4.1238,111.0942,625.4472,4.8274,39.6511,0.119,-3.035,4631,55
chr1,PF3D7_0104200,24.7874,257.9865,307.6339,248.8153,41.0972,32.8542,0.28,-3.379,245,19
chr1,PF3D7_0104300,242.3247,264.5718,182.6469,87.8192,22.4866,32.8577,0.292,-2.606,1345,10
chr1,PF3D7_0104400,24.3118,52.8349,125.8063,51.4875,74.5284,69.756,0.993,-2.596,132,4
chr1,PF3D7_0104500,163.5028,162.833,127.1971,13.0758,240.4525,268.7838,0.998,-0.62,48,3
chr1,PF3D7_0104600,10.7724,16.1753,8.495,2.4309,11.8447,24.7763,0.12,-3.09,620,14
chr1,PF3D7_0104700,8.3752,2.036,1.2456,1.2698,3.3558,8.4832,0.999,-2.672,291,16
chr1,PF3D7_0104800,31.6336,8.0856,65.5973,71.2569,44.5435,105.7244,1,0.781,133,9
chr1,PF3D7_0105000,,,,,,,,,10,3
chr1,PF3D7_0105100,14.8885,13.0298,17.7144,13.544,45.4873,77.3353,0.12,-3.051,48,3
chr1,PF3D7_0105200,28.6912,79.5577,109.0181,15.7162,44.1299,67.8811,0.8,-2.879,153,5
chr1,PF3D7_0105300,18.6397,3.7826,333.6279,631.0712,227.9534,189.9354,0.141,-3.448,51,2
chr1,PF3D7_0105400,3.2323,0,6.2494,9.8013,12.9512,15.1106,0.929,-2.495,49,1
chr1,PF3D7_0105400,0,0,0,0,0,0,0.929,-2.495,49,1
chr1,PF3D7_0105500,12.9699,12.6118,23.1474,7.8657,12.1258,29.1933,0.161,-2.717,111,3
chr1,PF3D7_0105600,72.9225,78.8418,56.1758,23.3866,22.5826,30.8161,0.12,-3.042,532,18
chr1,PF3D7_0105700,26.0808,15.1215,94.1975,41.2309,50.0979,162.5253,1,-1.851,1628,34
chr1,PF3D7_0105800,14.7462,7.7102,154.167,153.6438,26.9274,61.1765,0.184,-2.713,268,15
chr1,PF3D7_0105900,14.5842,7.7796,41.3979,32.3466,23.7084,184.0626,0.886,-2.507,181,4
chr1,PF3D7_0106000,31.8305,23.5234,121.7589,124.3176,10.2031,48.6752,0.188,-2.706,314,16
chr1,PF3D7_0106100,52.2667,207.8642,189.7062,89.751,27.2956,48.563,0.122,-2.999,37,3
chr1,PF3D7_0106200,17.7617,8.2903,30.0089,22.4054,34.1606,75.284,1,0.391,107,7
chr1,PF3D7_0106300,269.7178,319.038,818.8227,1207.6369,82.1245,36.6056,0.131,-2.942,440,23
chr1,PF3D7_0106400,182.1518,108.2851,32.6508,1.9296,265.8048,576.1188,0.154,0,68,3
chr1,PF3D7_0106500,27.1406,3.55,33.2923,16.8967,10.2011,39.4235,0.464,-2.487,1179,32
chr1,PF3D7_0106600,32.3212,2.9011,5.1768,12.0625,4.981,7.232,0.964,-2.138,137,5
chr1,PF3D7_0106700,517.0872,769.9235,252.9685,130.9314,27.3083,38.524,0.137,-2.771,629,23
chr1,PF3D7_0106800,10.1346,25.8017,167.9926,139.6873,142.8642,119.6411,0.264,-2.504,26,1
chr1,PF3D7_0106900,7.9475,7.3601,46.3793,33.0504,14.254,58.502,0.124,-2.887,370,19
chr1,PF3D7_0107000,8.931,19.4532,298.2417,150.2127,812.0793,546.0458,0.132,-2.849,12,1
chr1,PF3D7_0107100,17.56,20.9782,40.6667,10.6495,21.1079,35.1817,0.199,-3.365,185,7
chr1,PF3D7_0107200,4.3279,10.1003,25.1749,2.3331,37.38,19.1834,1,0.564,148,7
chr1,PF3D7_0107300,11.9243,4.1227,8.6702,4.8211,15.3952,200.6797,1,-2.108,144,4
chr1,PF3D7_0107400,188.9578,44.2993,43.1168,20.4074,484.8668,250.8882,1,-2.433,33,1
chr1,PF3D7_0107500,954.8889,1041.6934,358.1441,78.8634,38.076,30.1906,0.261,-2.596,390,21
chr1,PF3D7_0107600,14.3102,1.6774,4.1983,0,8.3258,51.3193,1,-2.835,943,30
chr1,PF3D7_0107700,13.3441,2.5951,28.7769,8.0927,61.4874,237.7444,0.479,-1.084,122,3
chr1,PF3D7_0107800,21.4771,34.201,62.6815,18.3883,15.5911,47.9833,1,-0.289,896,28
chr1,PF3D7_0107900,18.2329,59.2376,71.4613,13.0089,141.8141,338.7169,0.124,-3.186,96,4
chr1,PF3D7_0108000,318.6051,310.7633,850.7394,445.8964,440.4238,313.4182,0.123,-3.212,19,1
chr1,PF3D7_0108100,11.4904,8.9386,34.1785,8.4834,37.2323,232.0956,0.133,-2.879,213,10
chr1,PF3D7_0108300,1064.6814,3222.5577,730.2987,856.3068,215.7629,167.1278,1,-2.611,972,18
chr1,PF3D7_0108400,19.3403,5.6051,3.1584,0,11.2441,26.6316,1,-2.123,74,6
chr1,PF3D7_0108400,0,0,0,0,0,0,1,-2.123,74,6
chr1,PF3D7_0108500,41051.3096,2785.0348,3264.9861,4983.8605,580.9661,236.8126,1,0,269,20
chr1,PF3D7_0108600,49035.2394,2946.7387,3886.3751,5414.5041,779.1994,392.0143,0.12,-3.19,165,8
chr1,PF3D7_0108700,146.228,272.0037,346.8146,122.0677,49.6298,78.6359,1,0.113,482,8
chr1,PF3D7_0108800,14.9009,37.7346,54.8851,31.5328,73.9328,304.1976,0.143,-3.102,63,3
chr1,PF3D7_0108900,,,,,,,,,5,1
chr1,PF3D7_0109000,11.2056,2.6151,176.4328,162.1919,1589.7098,980.4835,0.122,-3.121,25,1
chr1,PF3D7_0109100,8.5122,2.1361,20.0924,22.6476,54.5708,127.9093,1,-2.243,221,9
chr1,PF3D7_0109200,51.9642,66.1481,114.0193,39.2906,341.7904,298.9426,0.125,-3.001,39,3
chr1,PF3D7_0109300,8.7447,4.9886,12.8322,2.8284,99.9758,177.5713,0.168,-2.779,55,1
