QueryIsoform	QueryID	TargetID	Identity	Coverage	QueryLength	MisMatch	Gaps	Evalue	BitScore	ManualScore
PF3D7_0102200.1-p1	PF3D7_0102200	tr|Q5T657|Q5T657_HUMAN	37.681	69	1085	43	0	0.0000000387	54.7	239.630322580645
PF3D7_0102600.1-p1	PF3D7_0102600	tr|C9JME8|C9JME8_HUMAN	37.5	72	630	30	2	0.0000147	45.8	428.571428571429
PF3D7_0102900.1-p1	PF3D7_0102900	sp|P14868|SYDC_HUMAN	48	450	626	223	6	1.91E-142	424	3450.47923322684
PF3D7_0103000.1-p1	PF3D7_0103000	tr|A0A087WY55|A0A087WY55_HUMAN	21.97	264	259	179	5	1.98E-11	63.5	2239.41312741313
PF3D7_0103100.1-p1	PF3D7_0103100	sp|Q9UID3|VPS51_HUMAN	24.118	170	1634	129	0	2.45E-12	73.2	250.921664626683
PF3D7_0103400.1-p1	PF3D7_0103400	sp|Q9UPW5|CBPC1_HUMAN	40	195	1620	105	3	5.57E-38	157	481.481481481481
PF3D7_0103600.1-p1	PF3D7_0103600	sp|Q9Y2R4|DDX52_HUMAN	49.057	53	1534	27	0	0.00000000194	63.2	169.492894393742
PF3D7_0103700.1-p1	PF3D7_0103700	tr|H7BYY4|H7BYY4_HUMAN	34.286	70	535	46	0	0.0000018	51.2	448.601869158878
PF3D7_0103800.1-p1	PF3D7_0103800	sp|P61163|ACTZ_HUMAN	60.638	376	380	141	3	7.38E-176	494	5999.97052631579
PF3D7_0104000.1-p1	PF3D7_0104000	sp|Q8TE57|ATS16_HUMAN	29.63	81	163	51	3	0.00000352	47	1472.41104294479
PF3D7_0104300.1-p1	PF3D7_0104300	sp|Q9P275|UBP36_HUMAN	28.448	348	3499	188	12	1.11E-18	95.5	282.935238639611
PF3D7_0105300.1-p1	PF3D7_0105300	tr|B7Z385|B7Z385_HUMAN	36.601	153	162	95	2	1.02E-26	103	3456.76111111111
PF3D7_0105900.1-p1	PF3D7_0105900	sp|Q14191|WRN_HUMAN	35.417	144	448	78	6	2.63E-11	67	1138.40357142857
PF3D7_0106100.1-p1	PF3D7_0106100	sp|P21283|VATC1_HUMAN	31.124	347	383	219	9	1.1E-47	167	2819.85065274151
PF3D7_0106300.1-p1	PF3D7_0106300	sp|O14983|AT2A1_HUMAN	44.316	607	1228	288	12	2.71E-138	447	2190.53843648208
PF3D7_0106400.1-p1	PF3D7_0106400	sp|Q969E8|TSR2_HUMAN	21.296	108	156	83	1	0.0000125	44.3	1474.33846153846
PF3D7_0106700.1-p1	PF3D7_0106700	sp|Q14692|BMS1_HUMAN	41.06	302	1434	156	7	1.36E-61	233	864.722454672246
PF3D7_0106800.1-p1	PF3D7_0106800	sp|P20339|RAB5A_HUMAN	54.822	197	214	83	1	1.17E-75	228	5046.69813084112
PF3D7_0107000.1-p1	PF3D7_0107000	sp|P41208|CETN2_HUMAN	72.024	168	168	42	1	4.6E-83	243	7202.4
PF3D7_0107200.1-p1	PF3D7_0107200	sp|Q6L8Q7|PDE12_HUMAN	24.784	347	337	207	14	5.91E-16	79.7	2551.94302670623
PF3D7_0107500.1-p1	PF3D7_0107500	tr|K7ERM4|K7ERM4_HUMAN	34.545	165	1470	103	4	2.41E-20	90.9	387.75
PF3D7_0107600.1-p1	PF3D7_0107600	tr|A0A7P0TAL9|A0A7P0TAL9_HUMAN	46.053	76	1595	38	2	8.76E-13	73.9	219.437492163009
PF3D7_0107800.1-p1	PF3D7_0107800	tr|F8W7U8|F8W7U8_HUMAN	41.631	233	1233	120	7	4.85E-42	166	786.70097323601
PF3D7_0108000.1-p1	PF3D7_0108000	sp|P49720|PSB3_HUMAN	43.981	216	218	109	2	2.54E-65	201	4357.7504587156
PF3D7_0108300.1-p1	PF3D7_0108300	sp|Q9H2G4|TSYL2_HUMAN	39.683	63	2221	37	1	0.0000262	50.4	112.563214768122
PF3D7_0108400.1-p1	PF3D7_0108400	sp|Q8TBP6|S2540_HUMAN	20.956	272	330	171	7	5.42E-13	69.7	1727.28242424242
PF3D7_0108400.2-p1	PF3D7_0108400	sp|Q8TBP6|S2540_HUMAN	25.455	110	174	68	1	0.000000987	48.5	1609.22413793103
PF3D7_0108500.1-p1	PF3D7_0108500	sp|P26436|ASPX_HUMAN	31.395	86	179	55	1	0.00000645	46.2	1508.36312849162
PF3D7_0109100.1-p1	PF3D7_0109100	tr|H3BTI0|H3BTI0_HUMAN	33.333	93	1029	56	3	0.00000133	53.1	301.260349854227
