Gene,Chr,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M,MIS,MFS,Haplo,ManualScore,TargetID
PF3D7_0100100,chr1,0,38.273,340.462,25553.8848,3185.455,3808.792,4943.085,7527.775,14514.794,16318.697,16245.943,14900.922,11866.602,4827.688,22242.9372,1,-1.706,,0,
PF3D7_0100200,chr1,0,0,547.156,7594.54585,6288.801,12957.495,11138.444,1092.069,6569.635,5181.508,7876.281,4444.33,10502.141,11862.173,1975.536,0.182,-2.624,,0,
PF3D7_0100300,chr1,0,0,0,585.70305,1423.689,840.613,115.838,35.176,155.553,187.761,157.208,311.928,143.654,638.884,146.1372,0.663,-2.461,,0,
PF3D7_0100400,chr1,,,,26922.8266,6631.443,36390.026,33755.01,14045.321,25984.142,17509.668,27940.466,40741.291,33626.582,61624.91,55605.5958,0.984,-1.854,,0,
PF3D7_0100600,chr1,0,443.68,0,8285.39055,387.239,1355.991,1198.056,250.009,1793.108,1744.33,4111.653,5005.323,2120.286,3277.955,0,0.888,-2.239,,0,
PF3D7_0100700,chr1,,,,0,125.916,116.722,0,0,0,0,0,0,0,0,0,0.122,0,,0,
PF3D7_0100800,chr1,,,,121.65065,0,310.962,297.955,36.152,0,48.155,28.91,0,0,0,0,0.206,-2.632,,0,
PF3D7_0100900,chr1,,,,301.5128,21.072,1021.829,3680.13,261.569,204.577,604.706,681.391,0,0,0,0,1,1.011,,0,
PF3D7_0101000,chr1,,,,391.9256,212.884,188.099,977.306,383.112,148.246,324.841,353.233,179.058,0,0,5162.1834,0.703,-2.524,,0,
PF3D7_0101100,chr1,,,,38.811,328.725,297.119,26.896,63.114,0,106.522,53.246,160.689,834.106,0,0,0.151,-2.77,,0,
PF3D7_0101200,chr1,,,,0,402.088,164.302,0,0,43.387,0,0,0,0,0,0,0.795,-2.494,,0,
PF3D7_0101300,chr1,,,,832.2635,473.736,30952.734,24196.176,1119.003,1027.45,925.024,993.368,2317.843,1904.243,403.947,0,1,-1.492,,0,
PF3D7_0101600,chr1,,,,3160.0744,998.702,4888.821,4190.769,446.137,1746.155,1094.624,1896.533,1066.943,177.398,0,0,0.199,-2.872,,0,
PF3D7_0101800,chr1,,,,931.344,24.18,80.375,407.308,0,67.912,124.802,191.887,0,0,0,0,0.513,-2.311,,0,
PF3D7_0101900,chr1,,,,2863.89865,248.374,106.684,0,78.641,0,225.335,370.766,0,805.647,2440.22,0,0.994,-2.047,,0,
PF3D7_0102200,chr1,4334.402,367.805,168.3,3359169.351,575214.28,57834.86,29166.083,27226.895,36840.339,71932.021,313427.052,6302.665,980.445,149.433,200.8325,1,-2.166,116,239.6303226,tr|Q5T657|Q5T657_HUMAN
PF3D7_0102300,chr1,,,,37331.34925,7433.024,17120.894,246123.665,331133.646,150291.278,88471.448,78837.83,210.074,411.576,552.591,1395.6353,0.932,-1.688,44,0,
PF3D7_0102400,chr1,0,1369.198,9266.059,,,,,,,,,,,,,0.147,-2.741,,0,
PF3D7_0102500,chr1,0,410.009,1126.194,369867.2632,59799.727,6184.315,1423.866,6371.191,39273.434,182096.495,432260.353,6957.21,1587.001,5649.647,10520.6401,0.999,-2.102,1101,0,
PF3D7_0102600,chr1,0,91.49,522.926,34969.92395,51004.47,384575.76,52982.463,20401.611,18515.737,19826.527,17734.447,10903.9,9485.393,4806.894,3250.9828,1,-0.921,296,428.5714286,tr|C9JME8|C9JME8_HUMAN
PF3D7_0102700,chr1,0,2693.486,2130.963,210686.2936,81474.698,15032.363,8085.564,9591.547,31683.781,31098.979,96127.005,10723.406,16298.825,10214.086,79492.5158,0.142,-2.851,123,0,
PF3D7_0102800,chr1,9273.574,11522.036,16444.807,5083.92465,2060.09,1693.403,11663.01,16485.795,9264.969,5966.39,5979.043,5587.434,21299.166,4978.562,0,0.99,-0.096,253,0,
PF3D7_0102900,chr1,59686.17,75446.145,61412.176,54878.7818,245033.99,383960.887,403930.499,249125.072,154765.144,106540.43,83441.552,23937.843,19916.569,24876.912,2229.5098,0.119,-2.954,217,3450.479233,sp|P14868|SYDC_HUMAN
PF3D7_0103000,chr1,3463.827,8620.656,9829.795,12219.9285,1430.362,881.918,5447.934,20708.792,34271.177,18023.105,19596.116,34798.025,32105.058,17383.186,25408.4139,0.123,-3.123,110,2239.413127,tr|A0A087WY55|A0A087WY55_HUMAN
PF3D7_0103100,chr1,2886.992,15242.277,16569.743,9524.61705,1812.23,4089.286,10843.642,23654.904,29934.319,25072.875,17099.815,20194.523,26187.974,33795.575,10122.3972,0.165,-2.812,1146,250.9216646,sp|Q9UID3|VPS51_HUMAN
PF3D7_0103200,chr1,279545.848,414201.479,482215.239,95086.95615,81960.419,193436.061,311524.957,270881.938,228579.809,191271.5,139892.672,102446.577,106130.726,135446.523,85245.7304,0.12,-3.064,117,0,
PF3D7_0103300,chr1,54451.406,39511.824,33012.161,65397.2959,82260.964,80079.65,71076.939,68674.46,76190.354,64321.874,73530.883,48006.939,43391.606,36657.81,31182.4796,0.12,-2.961,898,0,
PF3D7_0103400,chr1,12778.286,15346.441,17128.144,192627.892,20483.847,53112.467,120906.577,121029.325,154248.791,188181.879,202044.691,101911.891,120629.331,185734.651,118713.3807,1,-0.537,1080,481.4814815,sp|Q9UPW5|CBPC1_HUMAN
PF3D7_0103500,chr1,2511.909,9473.895,8788.164,6099.3027,1201.712,1567.622,10363.551,12649.403,11425.956,7899.535,8772.057,16707.437,20100.303,7647.35,34591.7456,1,-0.989,462,0,
PF3D7_0103600,chr1,3930.584,6506.082,6897.584,27091.0393,4844.523,18753.484,39007.799,38939.171,60697.231,65355.545,36890.032,56325.084,67529.215,195894.8,54990.8959,1,-1.61,3693,169.4928944,sp|Q9Y2R4|DDX52_HUMAN
PF3D7_0103700,chr1,12463.724,1270.046,3295.023,16290.79445,22501.216,26123.309,31093.985,32073.155,28984.222,18941.761,17086.598,12332.738,7557.381,25206.528,0,1,-2.284,376,448.6018692,tr|H7BYY4|H7BYY4_HUMAN
PF3D7_0103800,chr1,0,1083.029,3471.34,30627.19885,6206.826,3716.232,2627.871,18263.781,60083.411,48876.25,38549.652,427525.059,542783.64,576402.969,173085.6536,1,0.633,30,5999.970526,sp|P61163|ACTZ_HUMAN
PF3D7_0103900,chr1,20074.17,24519.74,50108.547,13240.51985,3448.109,11050.417,36400.149,46855.685,40191.329,31129.52,21932.605,44887.174,59003.385,69455.591,22468.3782,0.128,-3.12,188,0,
PF3D7_0104000,chr1,23724.951,6388.637,22916.678,10494.3324,1089.036,437.775,908.705,4936.624,12065.23,7189.818,11733.719,244662.193,305809.629,368013.988,184578.679,0.989,-0.714,50,1472.411043,sp|Q8TE57|ATS16_HUMAN
PF3D7_0104100,chr1,6668.258,3628.618,7816.57,11520.23945,1427.685,985.468,1540.079,8497.142,13047.215,14955.995,16018.714,7476.179,10359.71,24983.02,1434.9044,0.119,-3.035,4631,0,
PF3D7_0104200,chr1,146811.634,129915.086,109000.426,211008.515,31612.06,30324.971,52097.371,46022.897,58794.744,97586.406,224003.347,21331.138,12472.923,9997.354,24524.2205,0.28,-3.379,245,0,
PF3D7_0104300,chr1,20116.045,18360.532,16160.675,295836.7361,93670.889,45892.231,28230.516,25367.028,41505.944,66809.608,123851.252,20587.152,16838.969,9617.626,18285.2664,0.292,-2.606,1345,282.9352386,sp|Q9P275|UBP36_HUMAN
PF3D7_0104400,chr1,63638.525,79895.946,132611.405,32458.67035,7873.071,16177.482,44503.95,63208.964,67482.841,49519.39,40461.244,72130.193,110745.379,125581.832,18384.2177,0.993,-2.596,132,0,
PF3D7_0104500,chr1,359064.302,446953.215,326171.161,21869.5276,100195.522,149569.195,189582.437,121787.085,71630.138,43637.493,34459.885,18529.604,17774.86,13142.266,0,0.998,-0.62,48,0,
PF3D7_0104600,chr1,11866.991,6965.118,7989.429,2099.0249,2894.79,5722.185,7390.944,5011.619,6679.573,3878.875,3839.873,3878.86,3378.981,8350.243,8137.2951,0.12,-3.09,620,0,
PF3D7_0104700,chr1,0,3242.824,3635.035,2150.08965,136.14,81.06,705.592,1404.049,5150.905,3025.162,4655.689,24733.059,19454.296,14507.919,24937.0935,0.999,-2.672,291,0,
PF3D7_0104800,chr1,6698.388,8122.238,13955.749,38937.06345,6645.707,2542.307,13124.058,26965.188,35708.261,30687.118,45602.525,236578.272,370679.597,703304.044,216266.4686,1,0.781,133,0,
PF3D7_0104900,,56021.712,47493.446,81925.05,,,,,,,,,,,,,,,,0,
PF3D7_0105000,chr1,46478.873,24584.267,44277.311,,,,,,,,,,,,,,,10,0,
PF3D7_0105100,chr1,51722.877,257358.433,383638.475,4024.80855,494.064,1372.129,13101.928,19609.759,17090.901,7942.446,8680.104,12386.208,11520.772,5529.229,0,0.12,-3.051,48,0,
PF3D7_0105200,chr1,172356.425,94882.674,107519.448,13802.3057,3655.512,38318.733,72268.94,47115.37,25663.864,30201.218,24376.202,44466.711,30714.497,16801.374,32317.1918,0.8,-2.879,153,0,
PF3D7_0105300,chr1,14807.585,37626.536,81321.765,148536.6859,10618.285,1793.56,10755.327,84641.023,214290.182,207009.247,241187.039,87784.996,58754.961,34727.026,91255.7227,0.141,-3.448,51,3456.761111,tr|B7Z385|B7Z385_HUMAN
PF3D7_0105400,chr1,0,1117.844,2558.113,99264.1842,7964.544,1719.576,2553.587,19917.404,99905.656,120233.118,178507.059,36766.623,23472.79,26069.487,437.4605,0.929,-2.495,49,0,
PF3D7_0105500,chr1,1335.035,20738.459,25263.115,9069.79425,535.918,2079.478,11819.162,12874.306,13586.15,9756.842,9735.238,19459.928,23572.768,26428.903,33351.4989,0.161,-2.717,111,0,
PF3D7_0105600,chr1,17906.402,17390.235,21050.61,7480.52195,8320.577,12052.86,13817.454,12850.745,12056.271,10390.946,8613.015,29388.504,33630.219,14877.368,18735.0376,0.12,-3.042,532,0,
PF3D7_0105700,chr1,109564.264,54327.211,64428.377,5713.23015,644.736,617.985,5695.324,11208.44,13339.887,12460.817,8626.754,116126.636,111627.058,60029.904,127336.6843,1,-1.851,1628,0,
PF3D7_0105800,chr1,48740.655,60315.901,74942.593,84721.2423,6418.797,2932.917,35417.575,80425.701,116035.719,123681.841,114289.259,48135.448,48063.303,26888.56,23556.4397,0.184,-2.713,268,0,
PF3D7_0105900,chr1,58616.856,37725.573,48819.063,9164.04235,735.013,903.737,7543.194,13263.774,15627.153,13142.082,12151.514,19725.299,17348.053,27293.92,10602.3009,0.886,-2.507,181,1138.403571,sp|Q14191|WRN_HUMAN
PF3D7_0106000,chr1,6119.22,13734.329,19803.229,50318.87245,4601.326,2525.433,13716.931,43080.436,76505.017,77093.518,84342.359,29006.977,27723.033,56840.546,30327.9376,0.188,-2.706,314,0,
PF3D7_0106100,chr1,57013.568,55637.461,99960.349,36333.11885,34059.078,62421.558,67044.633,74658.821,63451.267,51914.292,52704.102,34373.78,33606.627,24934.89,36243.2474,0.122,-2.999,37,2819.850653,sp|P21283|VATC1_HUMAN
PF3D7_0106200,chr1,585.05,9444.345,31138.573,11564.2414,1792.434,273.217,1962.856,9638.579,24936.343,16335.27,18524.037,12230.109,13632.558,15318.467,71539.3948,1,0.391,107,0,
PF3D7_0106300,chr1,82596.371,93570.332,70817.768,101728.2041,126469.494,114331.084,126334.557,195369.408,188603.759,164603.462,123448.837,107235.954,86216.281,43389.519,49583.9077,0.131,-2.942,440,2190.538436,sp|O14983|AT2A1_HUMAN
PF3D7_0106400,chr1,326919.265,172176.425,115819.973,21737.0527,169926.329,212952.957,168251.416,57863.688,34758.531,27087.146,19836.366,24252.951,37254.045,48214.795,1722.4424,0.154,0,68,1474.338462,sp|Q969E8|TSR2_HUMAN
PF3D7_0106500,chr1,5636.814,12913.561,22589.676,7077.3479,1209.021,340.935,5004.062,18983.505,19413.903,16434.158,11370.126,22186.768,31925.955,16458.646,74894.594,0.464,-2.487,1179,0,
PF3D7_0106600,chr1,50603.553,6185.315,1446.647,22338.86575,1099.658,147.394,258.314,2727.637,18531.235,14595.954,20010.559,795.757,726.3,856.756,0,0.964,-2.138,137,0,
PF3D7_0106700,chr1,37303.619,62196.784,44794.535,46182.98805,69439.47,85256.898,72546.57,57890.827,64524.988,56048.296,51146.37,159376.936,152336.959,103528.456,78490.6072,0.137,-2.771,629,864.7224547,sp|Q14692|BMS1_HUMAN
PF3D7_0106800,chr1,4639.156,14161.582,27225.539,11001.7785,1826.439,5301.682,21081.186,41115.752,36389.74,27828.967,21205.227,56181.577,74941.267,52377.026,37657.1277,0.264,-2.504,26,5046.698131,sp|P20339|RAB5A_HUMAN
PF3D7_0106900,chr1,42194.726,15124.725,20526.862,8378.1281,1264.954,1438.61,10971.006,21286.326,25561.358,19966.026,15594.505,5673.207,5170.075,7772.521,204.8791,0.124,-2.887,370,0,
PF3D7_0107000,chr1,89247.993,73389.276,110905.834,41970.9886,4673.582,4411.506,52828.84,147493.918,157340.45,96706.59,61837.677,108368.542,91714.976,50521.855,113781.4523,0.132,-2.849,12,7202.4,sp|P41208|CETN2_HUMAN
PF3D7_0107100,chr1,40130.217,20750.461,19383.938,2826.5009,458.776,1946.923,10545.261,10604.028,10869.002,4373.04,5044.442,18292.562,29963.572,19585.588,25123.7845,0.199,-3.365,185,0,
PF3D7_0107200,chr1,3959.914,25466.974,24611.43,5189.0446,692.633,2691.077,21030.362,24084.049,22863.495,11707.82,9814.238,7960.17,21089.587,14158.069,79661.108,1,0.564,148,2551.943027,sp|Q6L8Q7|PDE12_HUMAN
PF3D7_0107300,chr1,80977.082,44964.87,24473.676,13013.9373,998.334,927.134,4113.376,5202.036,13784.602,12973.104,14376.148,22524.241,30228.503,64366.678,21517.7674,1,-2.108,144,0,
